No.,Type,As a,I want to…,So that,Priority
1.1000000000000001,Configuration,Operator,Set the number of videos displayed on the video wall,I can manage the overall effect and manage the bandwidth/processing power required for the effect,High
1.2,Configuration,Operator,"Set either 2x2, 4x3, 6x4 (across, down) videos to be played on the video wall concurrently",I can manage the overall effect and manage the bandwidth/processing power required for the effect,High
1.3,Configuration,Operator,Set a border colour to be displayed around the video wall,There is a neutral background around the video wall,High
1.3999999999999999,Configuration,Operator,Have a separate control screen (from the video wall screen),"I can manage settings, load videos, etc. on a separate screen to the video wall (in dual screen setups)",High
1.5,Configuration,Operator,Set a fade in and fade out length for each video in the play queue in tenths of seconds,I can control the fade per video in the play queue for the best visual effect rather hanving one global setting for all videos,Low
1.6000000000000001,Configuration,Operator,Set the start and end points for each video for each play queue in tenths of seconds,"I can remove artefacts from each video, like lead-in or lead-out scenes, which will ensure that the viewers can focus on the music video and skip production extras",Low
1.7,Configuration,Operator,Default the fade-in and fade-out lengths to zero seconds,,
1.7,Configuration,Operator,"Default the start and end points to ""0:00"" and full video length respectively",The videos will play from start to finsih unless adjusted by the operator,Low
1.8,Configuration,Operator,Be able to set whether videos in the play queue should start automatically when at the top of the list or manually,I can control videos start to play,Medium
1.8999999999999999,Configuration,Operator,Be able to define the syncronous/asynchronous gap for each video in the play queue separately,Each video can have a sync/async mode that creates the best visual effect for each video rather than having one global setting for all videos,Medium
2.1000000000000001,Appearance,Watcher,See the video wall without any windows or application controls visible,I can enjoy the video experience without being distracted by unwanted features,High
2.2000000000000002,Appearance,Watcher,See a single border colour around the video wall,The backround doesn't distract from the video wall effect,High
2.2999999999999998,Appearance,Watcher,Watch the videos in a synchronised way,The visual effects created by concurrently running videos are most enjoyable,High
2.3999999999999999,Appearance,Watcher,"The video wall in any configuration (2x2, etc.) to take up the maximum amount of space on the wall possible",The visual effect takes up as much of my view of view as possible,High
2.5,Appearance,Operator,See the current video fade out and the new video fade in with a pre-defined fade length for each video,The videos can be blended seamlessly from one to the next,Low
4.0999999999999996,Play Queue,Operator,Enter a link to a video (locally stored or online) that can be queued to play,I can select an appropriate video to display on the video wall,High
4.2000000000000002,Play Queue,Operator,Add an entered video link to a play queue,I can create a playlist/add videos whilst an existing video is playing,Medium
4.2999999999999998,Play Queue,Operator,Have a play queue that can hold up to 15 video links at any one time,"I can create an extensive forward play list for ""fire and forget"" operation",Medium
4.4000000000000004,Play Queue,Operator,"See which video is currently playing (name, file path) in the control window separatly from the play queue",I can see which video is currently playing separately from the play queue,High
4.5,Play Queue,Operator,Move videos in the play queue up and down the list,I can reorder the play queue if I want to / need to,Medium
4.5999999999999996,Play Queue,Operator,See the name and file path for each video in the play queue in a list sorted in play order,"I can know what I have added to the list, understand the running order and manage the running order",Medium
4.7000000000000002,Play Queue,Operator,Remove the currently playing video from the play queue when it starts to play,I can see clearly what is playing versus what is queued to play,Medium
4.7000000000000002,Play Queue,Operator,Delete videos in the play queue,I can remove videos from the queue that I no longer want to play,Medium
5.0999999999999996,Play Control,Operator,Play the next video in the playlist automatically after the previous one or manually,I can control when the next video starts,High
5.2000000000000002,Play Control,Operator,"Pause, restart or skip forward the currently playing video",I can control when the video is playing or move quickly forwards in the play list,Medium
5.2999999999999998,Play Control,Operator,"Play the videos synchronously on the wall, i.e. all video images are in perfect synch with 0ms delay between each one based on settings",I can achieve interesting video effects from the synchronous playing,High
5.4000000000000004,Play Control,Operator,Play each video on the wall with predefined asynchronous gaps between each successive video (gaps to be between 100ms and 500ms)  based on settings,I can achieve interesting video effects from asynchronous playing,High
6.0999999999999996,Play History,Operator,Retain a history of queued videos between app sessions,I can quickly retrive a video to re-add it to the queue when needed,Low
6.2000000000000002,Play History,Operator,"Be able to delete videos in the play history after selecting ""delete"" and then confirming ""yes I want to delete""",I can remove unwanted videos from the history,Low
6.2999999999999998,Play History,Operator,Sort videos in the history view by title and path,I can more easly locate videos to re-add to the play queue,Low
6.4000000000000004,Play History,Operator,Search the play history for videos by name/part of name or path/part of path,I can more easly locate videos to re-add to the play queue,Low
6.5,Play History,Operator,"Search for strings that contain text just by entering that text, e.g. ""EXT"" will return anything that contains ""EXT"" in it without using wildcards",I can more easly locate videos to re-add to the play queue,Low
6.5999999999999996,Play History,Operator,"Retain fade-in, fade-out, start and stop settings for each video in the play history",Videos will play as expected if re-added to the queue ,Low
7.0999999999999996,Play Operation,Operator,The app to buffer the next video in the play queue before it is ready start playing,"The app delivers the desired sync/effect cleanly, and 
Subsequent videos play instantly on completion of the previous video",High
